usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
09310500	  69.00	  18.60	  8710.00	  3.00	  3.00	  57.00	  -99.00	  11.00	  29.40	  1.72	  5.00
09315000	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09330500	  180.00	  20.10	  8850.00	  2.00	  2.00	  57.00	  -99.00	  4.00	  24.50	  1.64	  8.00
09350500	  39.80	  65.40	  9800.00	  0.10	  0.10	  92.00	  -99.00	  8.00	  27.00	  1.20	  2.00
09352900	  116.00	  18.00	  11400.00	  1.00	  1.00	  47.00	  -99.00	  -99.00	  46.00	  2.60	  1.00
09361500	  64.00	  66.00	  10200.00	  0.00	  0.00	  60.00	  -99.00	  -99.00	  30.00	  1.80	  2.00
09364500	  41.20	  113.20	  9500.00	  0.37	  0.37	  77.00	  -99.00	  8.00	  29.00	  1.00	  6.00
09378700	  78.50	  29.90	  6820.00	  -99.00	  0.00	  77.00	  -99.00	  -99.00	  16.40	  -99.00	  -99.00
09379500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09384000	  89.50	  41.70	  7760.00	  0.10	  -99.00	  39.00	  -99.00	  2.93	  20.00	  1.56	  10.00
09402000	  7.48	  285.00	  6300.00	  0.20	  -99.00	  32.00	  -99.00	  2.69	  12.20	  1.50	  16.00
09403000	  421.00	  17.60	  7390.00	  0.00	  -99.00	  53.00	  -99.00	  2.21	  19.80	  2.50	  24.00
09404450	  112.00	  13.90	  7300.00	  -99.00	  0.00	  74.00	  -99.00	  -99.00	  18.90	  -99.00	  -99.00
09408400	  472.00	  7.00	  8720.00	  -99.00	  0.00	  99.00	  -99.00	  -99.00	  27.30	  -99.00	  -99.00
09415000	  38.40	  112.06	  5500.00	  3.00	  -99.00	  50.00	  -99.00	  3.00	  16.00	  1.80	  24.00
09419610	  405.40	  3.95	  9350.00	  0.00	  -99.00	  100.00	  -99.00	  -99.00	  19.50	  1.70	  20.00
09430500	  37.10	  86.30	  8100.00	  0.01	  0.01	  66.00	  -99.00	  8.50	  18.00	  1.60	  16.00
09430600	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09431500	  31.50	  115.20	  6280.00	  0.05	  0.05	  67.00	  -99.00	  8.70	  17.00	  1.50	  20.00
09442692	  100.00	  12.00	  7720.00	  0.01	  -99.00	  43.00	  -99.00	  -99.00	  13.00	  1.45	  14.00
09444500	  48.90	  93.20	  6880.00	  0.00	  -99.00	  87.00	  -99.00	  2.90	  18.10	  1.60	  19.00
09448500	  26.40	  177.00	  6360.00	  0.10	  -99.00	  58.00	  -99.00	  2.77	  16.70	  1.70	  21.00
09471000	  18.40	  56.20	  4840.00	  0.10	  -99.00	  12.00	  -99.00	  2.01	  16.50	  1.90	  27.00
09480000	  42.20	  12.00	  5150.00	  0.20	  -99.00	  31.00	  -99.00	  2.29	  18.20	  1.90	  27.00
09498500	  23.30	  205.80	  6190.00	  0.10	  -99.00	  71.00	  -99.00	  2.81	  22.00	  2.30	  17.00
09508300	  210.00	  17.60	  4810.00	  0.00	  -99.00	  68.00	  -99.00	  1.00	  25.00	  2.70	  30.00
